param,cobra,cobra(si),cobra(nogpu),si,oopsla
100,.1480,.0860,.1640,.2740,.0026
200,.0890,.1220,.1340,.2700,.0059
300,.1070,.1450,.2090,.3280,.0116
400,.1190,.1970,.3470,.3570,.0318
500,.1390,.2440,.6290,.4010,.0823
1000,.3610,.8740,6.0350,.6240,2.8734
2000,.6740,4.2140,53.4130,1.2200,68.8992
4000,2.4140,31.8200,180,3.0790,180
6000,9.3210,88.1940,180,6.0190,180
8000,13.7990,180,180,11.7830,180
10000,27.9150,180,180,15.3590,180
12000,40.2540,180,180,22.2000,180
14000,66.8500,180,180,33.9220,180
16000,82.7580,180,180,54.2350,180
