time,check,db
0.0 ,800.000,791.667
1.0 ,783.333,775.000
2.0 ,791.667,783.333
3.0 ,2074.98,3950.00
4.0 ,1733.33,4016.67
5.0 ,1733.33,800.000
6.0 ,1866.67,775.000
7.0 ,1733.33,766.667
8.0 ,1733.33,758.333
9.0 ,991.683,741.667
10.0,733.333,750.000
11.0,775.000,741.667
12.0,758.333,750.000
13.0,766.670,758.333
14.0,725.000,758.333
15.0,800.000,758.333
16.0,2033.32,3950.00
17.0,1805.87,3975.00
18.0,1794.13,841.667
19.0,1733.33,775.000
20.0,1733.33,758.333
21.0,1866.67,766.667
22.0,925.017,783.333
23.0,800.000,766.667
24.0,775.000,766.667
25.0,789.783,783.333
